iter	Passed	Remaining
0	58	58300
1	58	29293
2	58	19607
3	59	14764
4	59	11862
5	59	9927
6	60	8542
7	60	7503
8	60	6693
9	61	6047
10	61	5517
11	61	5074
12	61	4699
13	62	4385
14	62	4114
15	62	3873
16	63	3660
17	63	3471
18	63	3302
19	64	3149
20	64	3009
21	64	2881
22	65	2766
23	65	2659
24	65	2563
25	66	2473
26	66	2394
27	66	2316
28	67	2244
29	67	2177
30	67	2117
31	68	2059
32	68	2003
33	68	1951
34	69	1905
35	69	1863
36	70	1822
37	70	1780
38	70	1739
39	70	1702
40	71	1667
41	71	1631
42	71	1598
43	72	1566
44	72	1536
45	72	1507
46	72	1480
47	73	1453
48	73	1428
49	73	1404
50	74	1380
51	74	1358
52	74	1336
53	75	1315
54	75	1294
55	75	1275
56	75	1256
57	76	1239
58	76	1222
59	76	1205
60	77	1189
61	77	1172
62	77	1156
63	78	1141
64	78	1127
65	78	1114
66	79	1101
67	79	1088
68	79	1075
69	80	1063
70	80	1051
71	80	1039
72	80	1027
73	81	1016
74	81	1006
75	81	996
76	82	986
77	82	976
78	83	968
79	83	959
80	83	951
81	84	942
82	84	930
83	84	922
84	84	913
85	85	908
86	85	901
87	86	893
88	86	886
89	86	878
90	87	870
91	87	863
92	87	856
93	88	850
94	88	842
95	88	835
96	89	829
97	89	822
98	89	816
99	90	810
100	90	803
101	90	797
102	90	791
103	91	785
104	91	780
105	91	774
106	92	774
107	93	768
108	93	763
109	93	757
110	93	752
111	94	747
112	94	742
113	94	737
114	95	732
115	95	727
116	95	722
117	96	717
118	96	713
119	96	709
120	97	706
121	97	702
122	98	699
123	98	694
124	98	690
125	98	686
126	99	681
127	99	677
128	99	674
129	100	670
130	100	666
131	100	662
132	101	659
133	101	655
134	101	652
135	102	648
136	102	645
137	102	642
138	103	638
139	103	635
140	103	632
141	103	627
142	104	624
143	104	620
144	104	617
145	105	614
146	105	611
147	105	607
148	105	604
149	106	601
150	106	598
151	106	596
152	107	592
153	107	590
154	107	587
155	108	585
156	108	582
157	108	579
158	109	576
159	109	573
160	109	570
161	109	567
162	110	565
163	110	562
164	110	560
165	110	557
166	111	555
167	111	552
168	111	550
169	112	548
170	112	546
171	113	544
172	113	542
173	113	540
174	114	537
175	114	535
176	114	533
177	115	531
178	115	529
179	115	527
